,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
128,6783,DOGE,0.0671066816043027,-0.003695536,431.8266494000043,0.0,431.8266494000043,1.0,-5668.0,0.00326,3258.0,0.0032481604302038985,close_trailing_long
129,6852,DOGE,0.0,-0.0038027320000000005,431.82284666800433,0.0,431.82284666800433,1.0,5998.0,0.00317,9256.0,0.0031975115256703004,entry_grid_normal_long
130,6888,DOGE,0.07425646836439512,-0.0038173320000000005,431.8932858043687,0.0,431.8932858043687,1.0,-5946.0,0.00321,3310.0,0.0031975115256703004,close_trailing_long
131,7233,DOGE,0.0,-0.0038026559999999997,431.8894831483687,0.0,431.8894831483687,1.0,6094.0,0.00312,9404.0,0.0031472823426168324,entry_grid_normal_long
132,7276,DOGE,0.07681465059433248,-0.0038172800000000006,431.96248051896305,0.0,431.96248051896305,1.0,-6040.0,0.00316,3364.0,0.0031472823426168324,close_trailing_long
133,7565,DOGE,0.0,-0.003802502,431.95867801696306,0.0,431.95867801696306,1.0,6193.0,0.00307,9557.0,0.003097202867067388,entry_grid_normal_long
134,7690,DOGE,0.07854880194037321,-0.003817836,432.03340898290344,0.0,432.03340898290344,1.0,-6138.0,0.00311,3419.0,0.003097202867067388,close_trailing_long
135,8251,DOGE,0.0,-0.003801576,432.02960740690344,0.0,432.02960740690344,1.0,6294.0,0.00302,9713.0,0.0030471755999694635,entry_grid_normal_long
136,8285,DOGE,0.11742660739048767,-0.0038251416,432.14320887269395,0.0,432.14320887269395,1.0,-6238.0,0.003066,3475.0,0.0030471755999694635,close_trailing_long
137,8530,DOGE,0.0,-0.003799818,432.13940905469394,0.0,432.13940905469394,1.0,6397.0,0.00297,9872.0,0.002997166248976285,entry_grid_normal_long
138,8703,DOGE,0.0,-0.010613616,432.12879543869394,0.0,432.12879543869394,1.0,18174.0,0.00292,28046.0,0.002947161991367535,entry_grid_normal_long
139,8762,DOGE,0.31391498708102916,-0.014475584000000001,432.42823484177495,0.0,432.42823484177495,1.0,-24452.0,0.00296,3594.0,0.002947161991367535,close_trailing_long
140,9490,DOGE,0.261779803025079,-0.002170776,432.68784386880003,0.0,432.68784386880003,1.0,-3594.0,0.00302,0.0,0.002947161991367535,close_grid_long
141,9594,DOGE,0.0,-0.0020783999999999998,432.6857654688,0.0,432.6857654688,1.0,3464.0,0.003,3464.0,0.003,entry_initial_normal_long
142,9711,DOGE,0.24247999999999914,-0.002126896,432.9261185728,0.0,432.9261185728,1.0,-3464.0,0.00307,0.0,0.003,close_grid_long
143,9756,DOGE,0.0,-0.00207936,432.92403921280004,0.0,432.92403921280004,1.0,3420.0,0.00304,3420.0,0.00304,entry_initial_normal_long
144,9830,DOGE,0.0,-0.003727232,432.9203119808,0.0,432.9203119808,1.0,6296.0,0.00296,9716.0,0.002988159736517085,entry_grid_normal_long
145,9844,DOGE,0.07299522437217168,-0.0036990000000000005,432.9896082051722,0.0,432.9896082051722,1.0,-6165.0,0.003,3551.0,0.002988159736517085,close_trailing_long
146,10277,DOGE,0.25510477562783057,-0.002173212,433.24253976880004,0.0,433.24253976880004,1.0,-3551.0,0.00306,0.0,0.002988159736517085,close_grid_long
147,10285,DOGE,0.0,-0.002081004,433.24045876480005,0.0,433.24045876480005,1.0,3434.0,0.00303,3434.0,0.00303,entry_initial_normal_long
148,11042,DOGE,0.24037999999999915,-0.00212908,433.47870968480004,0.0,433.47870968480004,1.0,-3434.0,0.0031,0.0,0.00303,close_grid_long
149,11369,DOGE,0.0,-0.0020819860000000005,433.47662769880003,0.0,433.47662769880003,1.0,3089.0,0.00337,3089.0,0.00337,entry_initial_normal_long
150,11512,DOGE,0.2471199999999993,-0.0021314100000000002,433.7216162888,0.0,433.7216162888,1.0,-3089.0,0.00345,0.0,0.00337,close_grid_long
151,11569,DOGE,0.0,-0.002083382,433.7195329068,0.0,433.7195329068,1.0,3037.0,0.00343,3037.0,0.00343,entry_initial_normal_long
152,11901,DOGE,0.24296000000000065,-0.002131974,433.9603609328,0.0,433.9603609328,1.0,-3037.0,0.00351,0.0,0.00343,close_grid_long
